,Vehicle No,Severity,Description,Best Practice,Action to be taken,Confirm,Created Date Time,Closed Date Time
0,KA03AL9215,Medium,Charging Above 90% will lead to battery damage,Do not charge the vehicle above 90%,Reduce car battery capacity below 90%,24,2023-11-01 09:00:00,2023-11-01 09:00:00
1,KA03AL2123,Medium,Charging Above 90% will lead to battery damage,Do not charge the vehicle above 90%,Reduce car battery capacity below 90%,19,2023-11-02 09:10:00,2023-11-02 09:10:00
2,KA03AL2098,Medium,Charging Above 90% will lead to battery damage,Do not charge the vehicle above 90%,Reduce car battery capacity below 90%,24,2023-11-02 07:50:01,2023-11-02 07:50:01
3,KA03AL3797,Medium,Charging Above 90% will lead to battery damage,Do not charge the vehicle above 90%,Reduce car battery capacity below 90%,23,2023-11-03 19:10:00,2023-11-03 19:10:00
4,KA05AM1248,Medium,Charging Above 90% will lead to battery damage,Do not charge the vehicle above 90%,Reduce car battery capacity below 90%,17,2023-11-04 14:50:00,2023-11-04 14:50:00
5,KA03AL2098,Low,Frequent Charging less than 10% leads to wastage of operation time,Avoid frequent short charging sessions,Avoid short charging sessions,4,2023-11-09 14:40:00,2023-11-09 14:40:00
6,KA03AL2127,Medium,Charging Above 90% will lead to battery damage,Do not charge the vehicle above 90%,Reduce car battery capacity below 90%,17,2023-11-10 14:00:01,2023-11-10 14:00:01
7,KA03AL3782,Low,Frequent Charging less than 10% leads to wastage of operation time,Avoid frequent short charging sessions,Avoid short charging sessions,6,2023-11-16 19:00:00,2023-11-16 19:00:00
8,KA03AL2127,Low,Frequent Charging less than 10% leads to wastage of operation time,Avoid frequent short charging sessions,Avoid short charging sessions,7,2023-11-16 19:40:00,2023-11-16 19:40:00
9,KA03AL3782,Medium,Charging Above 90% will lead to battery damage,Do not charge the vehicle above 90%,Reduce car battery capacity below 90%,23,2023-11-24 15:00:07,2023-11-24 15:00:07
10,KA03AL3781,Medium,Charging Above 90% will lead to battery damage,Do not charge the vehicle above 90%,Reduce car battery capacity below 90%,15,2023-11-28 15:50:00,2023-11-28 15:50:00
11,KA03AL3783,Medium,Charging Above 90% will lead to battery damage,Do not charge the vehicle above 90%,Reduce car battery capacity below 90%,12,2023-11-29 11:00:01,2023-11-29 11:00:01
12,KA03AL3797,Low,Frequent Charging less than 10% leads to wastage of operation time,Avoid frequent short charging sessions,Avoid short charging sessions,4,2023-11-29 18:30:01,2023-11-29 18:30:01
13,KA03AL2088,Medium,Charging Above 90% will lead to battery damage,Do not charge the vehicle above 90%,Reduce car battery capacity below 90%,25,2023-11-30 18:10:06,2023-11-30 18:10:06
14,KA03AL3800,Medium,Charging Above 90% will lead to battery damage,Do not charge the vehicle above 90%,Reduce car battery capacity below 90%,25,2023-12-05 17:00:03,2023-12-05 17:00:03
15,KA05AM1248,Low,Frequent Charging less than 10% leads to wastage of operation time,Avoid frequent short charging sessions,Avoid short charging sessions,6,2024-01-25 17:00:26,2024-01-25 17:00:26
16,KA03AL9215,Low,Frequent Charging less than 10% leads to wastage of operation time,Avoid frequent short charging sessions,Avoid short charging sessions,3,2023-11-23 14:50:02,2023-11-23 14:50:02
17,KA03AL2123,Low,Frequent Charging less than 10% leads to wastage of operation time,Avoid frequent short charging sessions,Avoid short charging sessions,1,2023-11-29 18:30:01,2023-11-29 18:30:01
18,KA03AL2088,Low,Frequent Charging less than 10% leads to wastage of operation time,Avoid frequent short charging sessions,Avoid short charging sessions,2,2023-11-16 19:00:00,2023-11-16 19:00:00
19,KA03AL3800,Low,Frequent Charging less than 10% leads to wastage of operation time,Avoid frequent short charging sessions,Avoid short charging sessions,1,2023-11-16 19:40:00,2023-11-16 19:40:00
20,KA03AL3781,Low,Frequent Charging less than 10% leads to wastage of operation time,Avoid frequent short charging sessions,Avoid short charging sessions,2,2023-11-23 14:50:02,2023-11-23 14:50:02
